Título,Autores,Ano,Link
Desenvolvimento de um tutor virtual inteligente através da utilização da Inteligência Artificial para contribuir para o ensino de Ciências baseado no movimento …,['VC Marques'],2021,https://repositorio.unicamp.br/Busca/Download?codigoArquivo=507598
"Design Science Research em Sistemas de Informação e Engenharia de Software: Conceitos, Aplicações e Trabalhos Futuros","['FEA Horita', 'VVG Neto', 'RP dos Santos']",2018,https://sol.sbc.org.br/index.php/jolai_clei/issue/view/283/jolai_clei#page=192
Transformações no ensino jurídico,"['AP Silva', 'ER Fabiani', 'M Feferbaum', 'AHT Saldanha']",2021,https://www.researchgate.net/profile/Paloma-Mendes-Saldanha/publication/364149796_GAMIFICACAO_E_CRIATIVIDADE_PARA_A_FORMACAO_EM_DIREITO_NA_CIBERCULTURA/links/633c42c2ff870c55cefe2a93/GAMIFICACAO-E-CRIATIVIDADE-PARA-A-FORMACAO-EM-DIREITO-NA-CIBERCULTURA.pdf
Using a fairness-utility trade-off metric to systematically benchmark non-generative fair adversarial learning strategies,['LFFP Lima'],2022,https://repositorio.ufpb.br/jspui/handle/123456789/26323
CONTEÚDOS OCUPACIONAIS EA DINÂMICA DO MERCADO DE TRABALHO NO CEIS 4.0,"['DM Gimenez', 'JP de Moura Cajueiro', 'GRR de Oliveira']",NA,https://cee.fiocruz.br/sites/default/files/Relato%CC%81rio%20Final%20-%20Gimenez%20et%20al%20%282023%29.pdf
MEDIÇÕES E AVALIAÇÕES COMPARATIVAS DE DESEMPENHO E ENERGIA DE ALGORITMOS DE MACHINE LEARNING PARA MITIGAR AMEAÇAS DE …,['MN Vieira'],2021,https://repositorio.ifpb.edu.br/handle/177683/1736
O ato administrativo ea inteligência artificial: uma abordagem sobre os limites e as possibilidades da utilização de inteligência artificial no contexto da …,['KVS Marques'],2020,Sem link disponível
Princípios e Aplicações da Computação no Brasil 2,['ER Martins'],NA,https://www.researchgate.net/profile/Julio-Tota/publication/330459447_DESENVOLVIMENTO_DE_SISTEMA_COMPUTACIONAL_PARA_AQUISICAO_E_ANALISE_DE_DADOS_AMBIENTAIS_REMOTAMENTE/links/5c81a84f299bf1268d44a4a1/DESENVOLVIMENTO-DE-SISTEMA-COMPUTACIONAL-PARA-AQUISICAO-E-ANALISE-DE-DADOS-AMBIENTAIS-REMOTAMENTE.pdf
Detecção de erros e fraudes em gastos públicos nas áreas da saúde e educação: uma abordagem utilizando inteligência artificial,['RM Pinto'],2023,https://repositorio.ufsc.br/handle/123456789/249803
Uma abordagem de classificação de impressões digitais utilizando redes neurais convolucionais profundas,['DV Dantas'],2021,https://repositorio.ufpb.br/jspui/handle/123456789/24475
Desenvolvimento de um Modelo de Avaliação da Originalidade do Esqueleto de Design de Interface de Aplicativos Android,['L Kreuch'],2022,https://repositorio.ufsc.br/handle/123456789/232994
Sistema de recomendação inteligente para nutrição usando aprendizado de máquina,['EA Pinto'],2020,https://www.bdtd.uerj.br:8443/handle/1/20289
Computer vision in automatic visceral Leishmaniasis diagnosis: a survey,"['C Gonçalves', 'A Borges', 'A Rodrigues']",2023,https://ieeexplore.ieee.org/abstract/document/10015224/
MODELOS DE APRENDIZAGEM PROFUNDA PARA DETECÇÃO E SEGMENTAÇÃO DE PLANTAS DANINHAS COM IMAGENS OBTIDAS POR UAV,['JAOS Silva'],2024,https://repositorio.ifgoiano.edu.br/handle/prefix/4716
Implantação de inteligência artificial nativa em sistemas IoSGT: uma abordagem holística,['PE Costa Filho'],2024,Sem link disponível
TRANSFORMAÇÕES NO ENSINO JURÍDICO,"['AP DA SILVA', 'ER FABIANI', 'EM FEFERBAUM']",NA,https://www.academia.edu/download/67702767/Transformacoes_no_Ensino_Juridico.pdf
ARQUITETURA DA INFORMAÇÃO BASEADA EM SIGNIFICADO E MULTIMODALIDADE COM INTELIGÊNCIA ARTIFICIAL PARA SUPORTE A …,['MA Santos'],NA,Sem link disponível
GranDIHC-BR 2025-2035-GC5-Human-Data Interaction Data Literacy and Usable Privacy,"['TA Coleti', 'SBS Divino', 'AL Salgado']",2024,https://dl.acm.org/doi/abs/10.1145/3702038.3702058
Edition 10 years,['LHA Correia'],2015,https://infocomp.dcc.ufla.br/index.php/infocomp/article/view/373
